weight,profit1,profit2,profit3
48,44,58,14
35,63,16,17
17,32,27,25
17,65,72,66
95,75,87,86
26,69,89,62
96,96,30,17
70,66,39,90
50,41,78,83
54,30,87,23
13,44,87,11
67,21,73,15
94,21,95,33
92,63,82,15
38,71,31,31
15,34,67,28
13,72,32,97
22,34,48,100
44,49,21,78
98,83,26,96
71,31,93,98
66,57,43,61
52,36,67,73
76,23,53,76
17,47,20,32
20,82,34,40
86,66,83,54
65,75,38,26
29,58,90,66
39,29,62,61
42,10,59,91
23,98,70,33
23,50,20,100
28,32,99,38
76,86,98,36
67,40,64,63
42,56,45,55
46,49,46,42
97,32,82,41
18,60,68,46
60,37,16,94
84,40,32,36
39,41,55,76
86,19,61,86
77,42,17,33
22,92,68,30
46,96,90,69
48,24,31,72
88,84,21,96
14,42,100,42
40,70,94,31
89,20,54,86
12,20,55,97
19,28,83,54
98,77,14,25
46,22,42,10
29,95,97,58
92,17,76,60
35,40,72,31
40,28,39,27
26,82,78,24
67,67,39,87
36,94,25,85
98,52,59,33
60,32,20,70
81,97,59,37
68,37,26,19
83,68,80,12
94,13,31,33
10,41,91,24
44,14,81,65
43,13,33,82
21,37,21,59
82,90,12,34
78,19,56,74
99,46,53,41
56,73,15,73
34,65,80,60
45,79,51,45
19,25,85,67
68,78,47,67
19,51,45,42
57,84,40,11
28,93,98,20
41,97,46,43
94,55,78,100
36,28,66,33
52,20,23,24
79,80,47,15
40,94,94,40
82,62,46,51
19,81,15,50
31,43,44,33
21,75,56,38
95,18,76,89
92,31,73,89
86,18,72,49
88,58,96,24
95,19,60,81
49,12,76,88
100,30,53,51
71,41,14,34
55,47,29,82
76,55,35,91
51,90,89,49
50,51,85,20
21,64,58,57
90,47,97,76
15,89,21,14
15,23,99,94
31,38,70,68
86,60,47,16
44,85,40,30
35,34,70,47
32,33,96,51
76,28,90,59
68,26,13,20
20,69,15,24
50,53,47,17
91,33,50,29
62,25,49,89
86,20,19,88
15,100,82,49
21,39,79,25
96,34,92,68
38,48,37,91
73,30,99,24
80,18,75,72
88,77,28,75
73,85,16,55
86,25,73,45
45,74,46,18
42,19,19,65
19,90,73,97
29,80,96,93
28,69,85,61
89,44,61,12
91,41,39,54
64,86,75,94
29,20,57,74
53,92,45,72
24,47,92,48
88,78,48,85
72,28,69,34
81,47,43,13
44,69,24,45
86,62,91,89
32,90,12,48
34,16,11,54
95,32,94,55
52,69,93,29
23,75,43,42
53,14,57,53
41,84,32,29
74,86,48,48
90,42,72,16
42,94,55,55
67,84,92,48
16,40,49,15
83,67,80,79
44,10,29,43
48,48,90,72
98,41,79,54
81,55,20,65
81,68,16,15
96,78,29,54
97,50,83,26
12,51,36,34
73,67,100,99
54,12,77,38
27,89,10,72
75,88,75,72
25,21,58,15
100,36,42,30
80,92,62,14
43,48,100,43
80,78,43,70
36,21,70,84
40,12,61,100
68,52,58,19
54,73,59,25
96,15,70,23
47,20,30,29
64,65,37,26
76,40,25,19
19,32,36,62
74,82,44,44
77,81,49,61
72,47,22,86
64,47,34,76
97,41,90,53
12,32,35,27
40,42,38,43
20,51,25,76
23,63,57,55
84,72,17,14
76,10,94,51
16,76,48,16
95,18,13,59
58,77,97,10
95,60,43,16
79,29,31,93
73,31,32,89
96,84,35,77
67,59,20,56
78,17,28,47
22,87,33,73
69,82,46,45
89,95,64,97
46,88,27,24
68,16,83,46
47,84,65,53
87,55,46,94
60,98,41,88
47,56,58,51
50,79,29,49
81,98,22,21
39,25,30,64
84,52,93,76
72,37,37,85
19,80,19,67
42,81,62,89
17,89,91,77
51,100,56,74
40,30,58,78
79,84,100,84
22,49,68,46
74,24,99,94
74,30,31,73
39,23,48,85
79,17,74,39
57,97,77,58
26,94,49,46
92,65,10,67
62,90,15,95
34,72,48,83
34,54,50,28
79,56,47,59
38,81,10,11
97,47,30,51
22,70,99,30
15,12,39,50
12,17,67,83
33,38,70,61
41,52,98,87
82,56,60,71
36,67,74,87
51,14,70,24
30,76,94,86
17,55,18,69
37,16,13,72
22,13,83,42
21,85,80,34
43,48,37,29
92,29,24,87
80,84,36,98
53,43,84,58
65,52,74,96
79,60,43,97
13,31,38,93
88,46,48,90
85,81,94,99
28,36,79,41
66,59,97,88
78,21,19,32
36,75,29,23
85,98,52,79
27,97,47,11
24,86,74,45
42,21,44,21
18,78,29,96
89,30,43,35
99,34,15,42
42,18,85,95
44,12,56,54
69,35,90,54
48,24,97,24
14,16,13,23
54,31,87,45
26,94,99,47
16,72,29,49
76,69,68,42
53,13,73,83
63,37,68,91
35,100,70,72
88,67,57,15
82,36,35,53
49,78,59,59
78,61,76,10
67,38,20,18
47,84,35,34
46,77,48,65
22,21,58,69
50,94,26,56
70,86,33,72
67,39,30,81
48,52,97,56
97,63,96,47
62,87,65,73
28,13,86,70
40,84,90,90
68,52,77,55
50,40,69,65
80,46,90,56
34,66,75,11
66,85,55,21
30,93,81,39
38,49,95,20
41,67,15,89
40,28,42,80
31,35,44,51
87,50,55,73
69,68,94,63
15,92,48,41
34,81,41,60
33,32,45,34
43,93,17,53
53,78,84,82
71,91,37,63
69,74,73,35
86,25,74,48
81,13,88,64
87,23,10,84
60,93,95,39
20,28,66,43
20,12,68,93
49,31,36,15
57,77,14,22
39,87,96,24
84,86,65,88
59,14,20,74
72,16,82,34
64,14,40,26
20,33,71,10
25,70,79,15
44,66,49,14
55,87,73,76
73,53,58,54
12,46,32,93
83,20,95,31
11,62,32,44
72,55,24,25
59,26,40,77
62,51,95,42
86,74,69,82
39,88,73,15
79,55,92,80
100,29,35,51
20,44,29,73
88,86,42,92
37,43,47,23
19,40,50,24
94,29,100,98
20,80,96,26
28,60,25,37
12,38,69,29
68,38,92,60
72,98,58,68
13,78,38,61
51,85,56,11
10,80,27,31
94,71,81,95
74,84,46,69
39,79,57,19
45,97,28,57
65,48,39,45
70,78,20,52
99,78,27,32
82,34,30,25
93,15,14,27
89,35,17,31
11,90,71,54
27,10,74,10
32,27,11,28
98,42,57,39
21,44,38,41
65,97,13,63
49,59,93,37
69,99,42,89
50,84,47,18
64,44,14,78
17,13,12,36
13,24,99,69
47,57,29,36
48,98,14,63
64,69,43,24
65,50,45,61
65,38,97,38
28,11,30,97
25,90,61,72
28,12,16,89
84,22,68,95
93,59,99,64
52,42,57,28
62,36,15,40
23,26,11,17
30,95,28,46
56,26,55,55
77,17,31,39
82,12,79,23
40,19,34,86
19,74,85,62
97,25,21,62
50,99,88,27
82,12,69,26
16,62,90,97
12,93,17,63
69,67,54,61
81,59,29,60
44,55,77,22
73,44,26,24
68,86,85,26
53,49,52,23
73,21,29,15
28,99,36,72
68,50,42,54
20,34,86,20
48,76,79,22
99,44,53,18
64,94,88,62
90,37,19,27
62,30,98,53
52,76,36,76
44,79,14,27
50,22,13,33
97,43,37,11
65,33,18,11
85,11,89,53
54,18,17,76
41,12,10,95
85,25,23,34
21,18,80,19
85,44,78,25
58,72,27,10
54,96,92,59
79,13,88,99
32,55,38,54
91,40,87,90
42,18,80,93
88,39,64,12
45,52,88,46
10,46,13,75
64,94,10,77
30,14,37,98
13,88,52,56
99,93,100,70
23,35,47,14
57,20,55,39
73,51,58,22
43,99,46,89
59,65,83,31
71,79,91,17
75,17,31,84
52,72,69,100
41,45,65,15
72,69,68,87
13,55,60,37
70,50,81,55
36,70,12,30
18,11,22,54
34,80,90,38
69,25,58,80
26,96,45,38
74,31,13,64
83,59,27,23
64,56,12,93
64,85,18,18
77,23,73,54
73,32,59,16
34,60,79,47
42,29,38,92
71,94,19,64
56,67,47,81
80,13,87,57
99,48,41,34
44,51,63,98
20,58,73,33
11,17,45,27
30,51,24,95
85,81,53,78
23,86,43,14
69,37,18,38
46,29,78,30
93,92,10,26
26,58,40,18
39,53,72,44
80,50,28,49
57,15,15,94
69,90,73,99
16,87,37,73
42,85,55,60
52,31,80,10
24,81,32,51
38,72,78,51
55,18,73,38
95,69,62,10
94,30,95,31
42,53,93,77
45,59,88,16
17,45,37,54
CAPACITY,13721,0,0
