weight,profit1,profit2,profit3
81,63,31,16
62,45,78,79
53,40,43,77
75,25,76,87
48,96,30,40
63,69,22,40
99,67,72,36
69,29,97,42
86,20,77,54
45,23,68,54
61,45,65,94
68,91,65,58
36,18,60,33
84,82,46,49
41,81,59,89
91,85,81,97
21,67,52,28
85,23,66,54
10,46,75,93
23,41,49,24
11,71,18,31
96,40,24,68
37,29,69,93
43,44,24,55
63,23,97,72
47,26,81,19
18,64,12,63
53,99,12,32
37,76,87,44
39,44,63,42
43,92,54,70
37,67,13,93
21,81,79,21
26,82,46,13
79,28,80,76
90,66,41,30
54,75,86,63
12,98,62,41
82,15,68,38
54,90,52,44
49,26,85,73
29,97,55,87
41,87,54,18
31,54,100,68
32,97,48,75
57,56,55,41
10,22,40,35
78,83,51,68
93,88,21,81
11,35,17,83
15,40,80,38
41,55,28,69
26,74,56,90
76,17,44,27
10,90,95,17
36,32,55,17
53,57,88,31
52,89,94,15
51,88,53,29
57,57,36,21
96,94,84,78
70,22,94,94
64,45,74,52
51,15,22,82
15,30,25,96
14,17,66,81
43,23,22,69
28,15,95,60
85,95,57,99
63,99,96,69
19,76,31,21
32,64,87,85
97,100,27,23
98,96,38,13
94,75,88,10
29,26,51,56
26,57,25,13
27,90,86,30
48,47,68,19
72,44,90,11
89,77,18,56
61,93,95,75
43,86,25,37
66,92,23,28
45,91,43,17
15,38,30,97
40,48,21,36
36,28,82,48
94,59,75,10
13,48,25,24
52,97,32,36
41,39,94,46
55,97,77,70
11,66,93,41
79,94,42,98
28,82,52,20
76,71,25,50
37,17,88,55
95,23,98,65
45,80,15,69
15,74,43,100
92,64,79,76
50,10,98,55
77,68,96,51
55,89,36,71
22,25,80,51
48,76,87,24
87,82,69,87
56,52,43,55
22,89,90,80
95,69,76,53
25,88,36,35
83,71,75,50
61,78,46,20
56,28,81,96
75,96,75,20
52,67,74,24
98,97,97,77
87,76,84,46
27,23,60,37
52,59,53,81
71,18,18,98
24,75,52,84
41,41,25,81
62,56,18,11
74,91,16,50
84,83,76,33
94,56,19,89
71,11,56,83
64,49,52,76
18,45,84,53
98,41,23,20
42,73,86,62
95,12,31,22
80,74,80,81
79,87,34,39
64,89,61,92
61,39,52,35
100,54,40,17
47,84,77,71
18,19,33,57
76,10,48,33
56,11,75,26
16,85,78,44
47,34,48,46
86,72,71,28
96,84,41,14
88,18,73,98
42,90,64,43
13,75,56,81
69,43,21,91
26,90,20,52
51,79,70,20
99,78,45,94
60,11,51,75
49,44,80,50
95,57,100,75
94,88,70,53
82,63,96,62
27,43,76,51
95,92,43,34
31,82,15,85
58,99,45,24
96,16,97,70
54,27,85,47
22,100,22,38
43,63,60,97
25,62,94,20
28,30,50,43
93,36,42,51
28,57,95,46
51,57,54,83
100,69,93,69
69,83,97,24
29,40,71,85
18,59,32,39
17,38,32,50
24,81,26,60
36,48,61,70
83,83,95,20
54,68,50,92
94,47,51,64
38,92,47,45
93,67,63,50
48,11,72,21
28,43,64,58
29,61,20,35
77,93,95,31
12,52,62,11
28,11,87,64
48,63,74,11
87,36,99,31
86,87,86,48
81,59,43,51
58,85,20,54
44,31,67,18
43,92,85,23
98,11,44,51
88,65,19,98
89,70,31,63
83,13,34,87
35,94,26,17
80,68,93,50
10,45,72,24
74,75,79,72
40,60,80,42
96,87,33,47
53,83,98,97
64,36,97,35
17,41,90,63
90,17,78,85
38,54,42,95
51,53,18,49
84,82,28,53
82,32,58,78
87,42,13,83
37,76,75,86
76,81,83,86
93,88,82,79
86,23,83,15
52,63,22,93
96,41,13,72
84,54,59,25
97,20,48,79
46,64,87,14
94,38,48,59
21,78,85,46
54,38,47,17
67,43,69,45
43,53,22,54
89,47,25,37
21,35,97,42
53,40,83,24
40,63,78,34
90,37,97,96
55,18,68,61
91,97,27,90
40,70,27,45
87,88,31,58
57,36,91,71
20,68,75,34
75,88,98,19
67,46,78,87
43,91,31,99
34,79,67,11
79,41,25,25
82,26,43,57
61,71,33,13
12,43,78,53
42,54,34,77
92,74,62,17
45,94,13,32
83,99,45,34
35,88,98,41
83,46,59,97
96,30,40,30
46,60,37,21
68,67,48,20
81,23,31,65
46,54,40,15
66,37,39,99
52,79,33,35
12,35,62,66
65,69,95,99
30,88,47,44
73,92,67,57
72,99,86,53
25,28,43,49
47,50,54,45
58,93,13,33
73,59,90,88
61,97,63,98
96,95,15,69
90,99,51,26
27,53,100,13
92,76,77,95
34,16,32,35
36,42,48,18
80,82,38,33
85,27,70,29
42,62,48,69
46,99,23,46
50,22,50,33
32,25,49,11
62,25,25,93
74,84,45,49
97,98,97,82
90,84,73,50
40,99,28,81
38,48,41,21
41,14,80,59
79,17,54,85
39,23,32,33
20,87,65,59
79,63,74,37
51,70,63,18
41,66,85,96
82,61,80,35
26,77,94,28
32,80,75,16
19,13,81,68
79,69,71,61
18,82,64,40
78,56,66,42
83,55,44,77
17,37,75,51
71,65,46,76
64,67,71,24
69,41,35,17
49,29,49,78
71,50,35,54
80,32,17,75
61,66,67,13
47,63,71,85
93,14,79,65
55,92,98,38
73,28,86,73
19,26,17,20
32,18,80,49
17,17,62,17
67,88,24,86
68,23,82,67
95,51,16,97
74,15,22,73
80,78,60,17
85,65,74,67
74,40,20,91
81,85,18,52
59,71,41,48
59,37,69,47
79,46,39,39
63,21,79,84
21,16,13,12
88,48,59,60
54,14,52,89
78,74,75,26
44,64,91,84
94,29,84,13
35,76,27,57
40,81,82,65
77,48,31,66
97,64,91,33
13,71,59,14
77,66,66,34
12,97,90,70
65,48,91,63
93,42,65,52
24,93,58,23
82,99,90,52
64,90,65,50
34,83,82,55
23,90,43,17
28,12,96,94
55,77,62,93
97,70,78,65
43,76,55,82
61,86,45,27
40,87,85,79
22,38,28,47
98,90,18,95
51,92,12,96
84,88,67,50
95,31,75,78
22,94,80,32
16,76,20,15
57,57,68,35
45,21,78,63
94,11,12,49
10,93,100,42
94,46,93,41
34,95,66,42
98,89,69,66
47,18,19,26
97,58,51,77
59,50,85,18
28,21,55,67
17,65,63,66
79,19,97,12
76,58,52,52
43,45,57,34
21,77,93,48
10,57,64,66
69,61,73,27
92,36,96,38
28,75,22,25
84,11,86,64
70,46,62,51
30,79,32,85
12,97,82,54
52,15,61,65
89,53,64,44
88,25,38,81
