weight,profit1,profit2,profit3
75,87,61,80
76,92,86,71
99,37,78,47
23,27,54,99
22,54,82,43
75,53,77,48
43,19,21,85
91,76,30,74
46,23,80,38
47,49,19,79
47,80,23,44
87,20,39,87
79,89,45,53
30,84,11,85
34,97,10,100
47,74,17,14
40,63,96,63
15,78,49,23
68,72,79,67
19,65,21,76
12,19,27,44
59,24,31,62
99,58,19,42
28,27,57,28
77,31,42,66
100,68,62,89
27,94,93,26
24,60,84,42
89,62,25,29
98,55,69,48
52,60,39,32
78,100,83,96
81,16,86,90
51,27,49,77
35,87,85,72
53,90,15,23
19,35,61,86
97,14,87,80
50,23,73,44
11,15,64,37
100,54,67,58
39,57,47,29
16,89,20,57
52,26,62,96
44,25,61,95
55,29,95,64
58,93,99,94
76,64,63,63
97,81,99,80
35,100,62,48
14,41,88,86
92,62,43,24
61,18,19,93
48,58,98,17
36,90,55,21
92,53,92,60
14,86,70,78
84,25,25,99
91,29,36,54
26,77,64,12
38,80,88,34
68,28,63,85
90,28,51,96
60,95,12,23
43,56,42,77
41,74,92,40
71,100,11,68
53,99,19,78
26,77,66,18
62,90,87,35
57,27,67,28
55,13,39,20
30,98,31,70
13,82,90,88
16,97,92,83
31,12,11,69
51,83,87,38
80,67,10,23
50,65,80,63
39,73,50,49
97,60,31,46
13,86,16,64
68,40,38,56
81,92,60,86
58,82,22,24
16,64,80,80
67,82,60,53
97,12,40,19
35,65,97,76
17,96,14,29
93,19,48,17
44,85,27,91
11,13,27,25
49,83,23,41
66,44,41,18
61,26,84,49
34,64,76,44
55,65,92,81
36,60,12,39
19,89,88,35
60,47,81,39
88,32,65,19
25,93,92,25
24,74,12,69
57,43,22,79
18,27,34,21
48,34,98,68
96,97,18,54
53,79,11,81
16,59,78,30
16,68,99,13
38,99,87,79
28,67,77,71
57,53,86,98
44,82,20,16
22,94,36,87
15,70,39,72
46,62,50,10
46,66,100,53
24,13,57,91
48,99,51,23
62,68,72,42
40,85,39,79
38,73,31,25
39,81,38,20
66,39,87,39
66,64,13,89
34,96,29,82
44,20,65,29
16,26,11,26
58,43,63,42
33,42,49,98
58,76,47,26
81,55,51,49
100,96,79,69
56,99,52,98
27,55,89,83
67,95,56,77
95,20,43,62
15,19,60,28
39,98,55,32
46,96,84,52
14,53,97,80
62,34,37,33
20,46,68,17
66,26,47,60
30,34,79,86
86,76,31,37
99,78,29,68
16,24,31,90
18,25,87,35
22,61,34,88
57,38,82,39
39,82,67,27
44,89,81,97
34,69,42,50
37,18,68,48
85,66,24,52
69,66,59,13
22,29,49,34
37,19,62,29
70,80,33,69
39,62,78,53
99,20,82,51
87,74,33,20
73,13,58,98
56,30,59,32
78,25,43,61
50,93,81,60
35,81,60,38
19,86,90,79
88,14,22,14
26,57,51,52
73,48,34,16
79,65,46,13
45,43,19,79
91,92,97,10
75,43,89,20
84,49,78,73
32,62,30,66
49,19,62,12
36,31,49,16
86,88,38,30
75,73,56,73
63,30,99,46
83,55,88,57
51,66,33,18
35,28,17,68
82,44,71,17
71,88,26,45
91,39,91,100
96,98,91,97
67,68,46,22
93,80,20,80
34,25,92,60
56,37,44,14
23,40,85,13
68,34,57,70
42,99,19,73
84,27,24,54
85,56,11,31
58,13,25,86
13,21,67,41
48,56,55,69
30,12,35,40
24,100,17,18
77,25,22,76
87,60,67,62
62,41,32,15
54,36,52,41
76,25,100,92
65,71,62,84
44,100,35,77
49,42,58,72
44,19,45,51
60,96,53,43
26,42,49,93
55,96,25,43
23,59,42,98
34,69,33,98
26,33,23,56
72,15,30,36
52,41,14,27
42,23,52,13
100,73,30,16
43,71,40,56
10,44,22,18
23,39,35,77
74,21,41,97
90,13,21,82
59,20,75,39
99,88,62,36
34,69,76,63
38,28,97,26
88,61,48,63
16,43,46,21
15,68,18,25
58,69,71,38
49,10,47,41
82,76,34,50
15,21,60,87
15,85,29,80
61,54,11,65
34,28,53,67
10,62,26,99
85,95,36,79
33,92,26,42
63,100,65,75
86,86,23,35
49,21,46,93
30,28,71,55
46,49,46,76
71,49,91,31
71,17,51,40
23,63,41,44
54,57,85,91
62,53,54,41
95,88,54,27
12,49,75,42
35,39,18,38
46,61,89,59
37,56,13,43
54,84,79,55
25,56,41,48
19,21,79,42
91,98,60,27
79,88,21,98
17,40,40,13
68,24,41,21
52,67,34,82
63,73,11,68
74,70,99,100
82,28,25,29
27,17,70,42
28,55,40,65
95,11,23,98
78,92,53,41
21,21,47,12
75,53,62,42
28,81,23,31
53,21,28,71
53,17,34,16
64,29,93,72
11,32,79,39
51,45,53,82
66,73,60,90
14,48,23,30
97,98,96,91
64,85,27,78
89,75,78,91
12,22,18,59
19,53,86,28
62,68,56,74
60,63,36,86
95,34,51,16
78,76,48,67
32,30,74,86
95,19,78,36
60,43,63,62
21,15,17,67
76,21,33,71
62,87,87,23
65,50,86,23
71,97,96,33
58,37,23,54
31,35,94,55
86,77,80,74
71,18,72,45
47,96,55,55
78,36,32,97
85,100,41,55
27,23,42,26
43,32,88,85
20,43,71,72
72,37,55,52
39,23,32,25
90,62,22,85
99,29,33,46
42,46,14,61
71,58,97,55
17,22,33,34
69,73,80,18
54,24,51,24
36,25,72,41
45,79,32,61
94,16,98,67
86,81,12,10
24,69,41,42
29,79,29,34
38,11,46,68
63,35,92,51
34,30,26,35
87,50,67,45
35,28,50,94
53,26,96,45
53,17,22,21
25,19,42,48
83,56,56,72
54,13,35,44
74,88,40,69
12,91,29,96
66,95,19,42
13,51,66,90
52,62,21,59
63,47,23,54
57,78,66,66
16,55,43,75
30,88,44,71
30,47,26,57
51,43,58,34
43,99,16,52
54,83,15,57
91,14,47,63
40,73,13,80
69,36,32,47
42,60,14,67
21,85,82,60
74,40,84,55
73,24,46,72
27,90,89,72
14,26,11,16
64,35,71,13
22,79,87,83
67,95,60,35
29,22,100,93
96,91,72,61
13,70,16,60
96,51,96,83
27,21,57,11
98,15,37,45
14,56,39,75
62,15,11,25
24,83,84,20
91,33,75,98
28,55,59,29
63,39,31,83
29,47,83,42
17,87,57,88
51,77,48,33
71,91,77,95
84,54,78,36
38,61,65,84
94,58,38,57
80,67,22,35
93,54,50,95
93,41,39,78
48,96,92,21
58,82,84,95
91,20,71,84
86,67,17,44
49,29,38,66
26,47,51,14
98,37,75,76
71,51,52,77
83,91,94,44
75,58,62,88
69,33,78,63
56,16,51,42
79,63,21,40
30,82,100,45
51,12,18,20
58,88,35,60
85,42,26,75
98,37,28,39
54,41,13,67
98,60,76,72
55,18,23,44
52,16,60,13
14,99,46,15
40,44,15,28
57,20,48,30
66,57,77,13
85,66,59,93
75,79,36,67
24,42,32,98
56,26,14,70
12,81,22,39
40,41,50,54
82,80,74,23
64,52,55,59
16,55,76,97
44,28,54,66
13,86,25,51
98,11,15,47
12,56,94,70
14,21,15,84
74,43,42,40
96,84,64,38
74,34,13,50
63,63,59,88
38,50,31,88
37,11,89,44
46,15,55,51
100,38,83,25
51,37,60,52
31,66,84,89
93,13,65,47
42,80,22,28
77,59,86,62
11,66,35,51
63,94,35,59
64,24,65,28
58,41,62,47
29,10,72,85
94,27,36,31
79,15,12,96
69,95,90,52
100,68,61,90
76,54,24,76
44,92,90,19
56,52,90,33
53,22,86,56
98,10,91,92
10,52,46,74
18,55,16,45
22,69,56,95
82,28,44,57
47,10,93,96
17,50,33,57
91,83,39,85
72,57,27,11
31,75,99,78
10,92,86,75
25,36,59,34
90,57,50,73
40,28,67,62
95,24,50,64
84,79,36,84
76,21,34,81
74,28,53,39
22,70,60,21
98,50,77,89
73,17,62,79
78,73,12,17
79,52,17,99
72,12,19,25
68,80,37,95
37,37,27,32
98,36,15,98
48,70,42,97
56,57,17,16
96,24,71,63
36,93,56,82
83,87,59,91
99,98,63,88
21,40,62,61
80,13,95,79
69,79,51,81
77,95,72,72
81,57,89,68
83,54,72,51
22,61,18,48
37,32,25,81
29,72,87,51
51,36,38,11
57,44,56,97
39,85,75,20
80,51,23,80
30,51,34,17
61,46,47,70
37,70,90,58
92,37,35,100
27,29,35,84
69,11,39,73
51,20,76,65
52,85,53,79
39,22,30,46
22,38,12,44
92,50,16,52
63,14,41,82
99,99,46,74
95,41,95,58
97,30,61,47
31,16,32,94
52,51,54,41
37,51,80,97
40,98,41,84
32,80,77,46
25,39,40,80
19,20,46,95
18,40,61,13
86,30,18,68
95,98,56,81
31,57,15,21
12,64,27,36
24,18,30,61
31,49,40,44
49,15,69,32
67,65,12,57
30,55,83,21
59,21,20,77
72,86,83,34
28,65,77,23
19,52,14,88
15,33,88,92
23,81,85,97
99,23,48,43
49,30,77,75
25,10,74,41
38,80,50,55
76,92,64,28
100,73,10,28
39,56,22,81
59,26,62,53
53,50,44,59
31,56,65,96
30,26,73,31
48,90,27,66
66,68,57,78
64,96,36,60
70,75,67,83
37,66,86,90
26,26,64,72
35,67,32,38
45,39,50,35
12,98,23,99
71,23,16,82
89,17,80,76
33,59,28,100
77,61,84,34
53,67,94,12
88,54,33,56
86,77,89,41
52,77,57,93
70,51,28,36
95,86,26,55
43,47,28,83
67,90,29,63
43,13,16,92
42,100,59,43
68,43,57,17
52,46,35,15
70,99,46,35
22,32,78,12
90,62,21,26
48,63,44,83
93,22,10,34
26,58,54,96
79,66,48,55
54,51,66,29
43,94,78,87
29,65,32,31
77,69,86,36
18,10,70,36
48,89,92,62
21,72,53,80
82,73,32,27
81,70,13,42
72,21,76,66
14,14,70,10
23,94,93,25
12,36,45,75
89,14,97,75
74,61,26,18
